7:2953,2076,16258,14626,12329,107987,18904,42204,99556,80670
18:1267,1685,9354,18,9480,8454,5896,20547,47812,16042
19:
36:119,3162,7608,7950,55482,62446,78871,121966,97120,57100
37:3704,3144,1965,1683,3717,7738,23323,25305,29935,118457
41:111355,86238,89685,110726,88465,115118,99393,98572,120835,92428
42:591,6450,4420,4613,2571,2158,6945,25921,71458,119234
43:358,3288,1057,6836,3214,1728,27487,72828,102330,23931
44:5998,6901,6303,1419,17990,14880,10236,9877,18102,11824
45:76,683,11518,4858,11751,15580,65380,79684,93651,111637
46:4181,645,1772,249,5176,2610,25517,60082,109796,106201
59:4697,25174,10835,2530,80631,59430,29796,96977,6322,32615
60:236,239,953,3288,1871,3214,1677,6445,82449,40466
69:268,3001,18285,37516,68535,24360,53995,100194,96365,55980
70:138,736,65,1009,21542,77490,102410,82877,123026,94227
94:13419,4421,3973,26848,10536,9217,31492,104746,88183,102559
106:297,3819,1455,7482,3126,99714,61609,110151,46407,65844
115:953,678,1825,659,5741,6674,10137,40399,16626,80682
116:43623,39566,1831,93619,10646,35364,107843,103643,113693,115510
142:4453,3819,10966,17782,12298,35541,102268,58427,37947,66860
143:16595,7599,9547,45649,70938,66665,85640,280,81237,120713
148:70,698,4755,2121,1712,1760,1923,45076,97750,92131
150:1362,317,1684,2571,2158,2914,38243,39421,85164,116295
156:57626,28767,2945,17631,52773,75126,43331,103794,121514,89873
161:564,5998,1326,17805,13058,50912,112688,31192,111032,6372
171:1795,1512,3652,2256,82969,4327,100556,61332,102410,94227
172:2571,2158,2854,30348,13918,27208,29889,46372,92733,56157
174:38437,83263,62981,91046,87724,115036,78778,122852,57606,109231
177:302,654,1089,1475,1030,28854,28020,76191,59691,55966
196:238,1344,4813,1100,13052,17642,43205,43907,78795,84486
202:650,48,1187,297,2669,660,6840,106498,40541,107634
211:810,206,11015,30443,61774,68536,19394,103694,70794,40466
217:2609,3196,12722,11834,5111,14793,8454,42637,89855,113567
220:4542,4032,10178,39446,7649,72627,91800,58456,102905,111565
223:1424,23867,118593,41303,58601,76065,91182,102410,107230,94227
224:6417,12993,16127,35040,1159,72063,64959,64543,25239,80776
225:2953,2076,6143,1890,44427,13656,29889,92733,80078,85927
228:2429,1065,1983,1145,4958,10163,31150,69927,39554,60245
229:358,986,3167,22365,12706,3183,45076,52200,92131,52056
231:11732,72151,49829,55107,29889,92733,50863,62708,12209,119768
